3D打印	to 3D print
3D打印机	3D printer
K线	candlestick
K线图	candlestick chart
TF卡	microSD card
U盘	USB flash drive
㓥房	subdivided flat
㞎㞎	poop
㵐水	Jue River
㶉𫛶	a kind of waterbird res…
㹴犬	terrier
㺢㹢狓	okapi
䗖𬟽	rainbow
䴙䴘	grebe
一一	one by one
一一对应	one-to-one corresponden…
一一映射	bijective map
一丁不识	illiterate
一丁点	a tiny bit
一下	a bit
一下儿	erhua form of 一下
一下子	in a short while
一不小心	to be a little bit care…
一世	generation
一丘之貉	jackals of the same tri…
一东一西	far apart
一丝一毫	one thread
一丝不挂	not wearing one thread
一丝不苟	not one thread loose
一丢丢	a tiny bit
一个	a
一个个	a number of
一个中国政策	one-China policy
一个人	by oneself
一个劲	continuously
一个劲儿	erhua variant of 一個勁|一个劲
一个半	one and a half
一个头两个大	to feel as though one's…
一个将军一个令	lit. one general
一个巴掌拍不响	lit. one palm alone can…
一个接一个	one by one
一个样	the same
一个萝卜一个坑	lit. every turnip to it…
一中一台	one China and one Taiwan
一中原则	One-China principle
一举	a move
一举一动	every movement
一举两得	lit. one action
一举成功	success at one go
一举手一投足	every little move
一之为甚	once is more than enough
一之谓甚	see 一之為甚|一之为甚
一了百了	once the main problem i…
一事无成	to have achieved nothing
一二	one or two
一五一十	lit. count by fives and…
一些	some
一亩三分地	a piece of land of 1.3 …
一亲芳泽	to get close to
一介不取	to not even take a penny
一代	an era
一代不如一代	to be getting worse wit…
一以贯之	consistently upheld
一众	a group of people
一会	a moment
一会儿	a moment
一体	an integral whole
一体两面	two sides of the same c…
一体化	to integrate
一作	first author
一侧化	lateralization
一元	single-variable
一元化	integration
一元复始	a new year begins
一元论	monism
一元醇	methyl alcohol CH3OH
一党	one-party
一党专制	one party dictatorship
一共	in total
一再	repeatedly
一决雌雄	to have a showdown
一准	certainly
一刀两断	to make a clean break w…
一刀切	lit. to cut all at one …
一分一毫	the tiniest bit
一分为二	one divides into two
一分钱一分货	you get what you pay for
一切	everything
一切向钱看	to put money above ever…
一切如旧	everything as before
一切就绪	everything in its place…
一切险	all risks
一则	on the one hand
一刹那	a moment
一刻千金	time is gold
一力降十会	brute force overcomes c…
一动不动	motionless
一劳永逸	to get sth done once an…
一匙	spoonful
一千零一夜	One Thousand and One Ni…
一半	half
一半天	in a day or two
一卡通	the name of various con…
一厢情愿	one's own wishful think…
一去不回	gone forever
一去不复返	gone forever
一去无影踪	gone without a trace
一反常态	complete change from th…
一发不可收拾	once it gets started th…
一发而不可收	to be impossible to sto…
一口	readily
一口价	fixed price
一口吃不成胖子	lit. you cannot get fat…
一口吃个胖子	lit. to want to get fat…
一口咬定	to arbitrarily assert
一口气	one breath
一口气儿	erhua variant of 一口氣|一口气
一句	a line of verse
一句话	in a word
一叶知秋	lit. the falling of one…
一叶障目	lit. eyes obscured by a…
一号	first day of the month
一号木杆	driver
一号电池	D size battery
一同	together
一吐为快	to get sth off one's ch…
一向	a period of time in the…
一员	a member
一周	one week
一味	persistently
一呼百应	to elict an enthusiasti…
一呼百诺	one command brings a hu…
一命呜呼	to die
一命归天	see 一命嗚呼|一命呜呼
一命归西	see 一命嗚呼|一命呜呼
一命归阴	see 一命嗚呼|一命呜呼
一品	superb
一品红	poinsettia
一品锅	dish containing a varie…
一哄而散	to disperse in confusion
一哄而起	to rush into action
一哥	top-ranked male
一哭二闹三上吊	lit. to cry
一唱一和	to echo one another
一唱三叹	concise yet deeply evoc…
一回事	one and the same
一回生两回熟	see 一回生二回熟
一回生二回熟	unfamiliar at first
一团和气	to keep on the right si…
一团漆黑	pitch-dark
一团火	fireball
一团糟	chaos
一国两制	one country
一地鸡毛	complete mess
一场空	all in vain
一块	a piece
一块儿	erhua variant of 一塊|一块
一堆	pile
一塌糊涂	muddled and completely …
一壁	at the same time
一壁厢	see 一壁
一声	first tone in Mandarin
一声不吭	to not say a word
一声不响	to keep totally silent
一夔已足	one talented person is …
一夕	overnight
一多对应	one-to-many corresponde…
一夜之间	overnight
一夜情	one night stand
一夜无眠	to have a sleepless nig…
一夜爆红	to become popular overn…
一夜露水	one-night stand
一大早	at dawn
一大早儿	erhua variant of 一大早
一天一个样	to change from day to d…
一天到晚	all day long
一夫一妻	monogamy
一夫多妻	polygamy
一失足成千古恨	a single slip may cause…
一头	one head
一头栽进	to plunge into
一头热	one-sided enthusiasm
一头雾水	to be confused
一套	suit
一如	to be just like
一如往常	as usual
一如所料	as expected
一如既往	just as in the past
一妻制	monogamy
一姐	top-ranked female
一孔之见	partial view
一字	in a row
一字一泪	each word is a teardrop
一字不差	word for word
一字不提	to not mention a single…
一字不漏	without missing a word
一字不落	see 一字不漏
一字不识	totally illiterate
一字之师	one who can correct a m…
一字儿	erhua form of 一字
一字千金	one word worth a thousa…
一字褒贬	lit. to dispense praise…
一字马	the splits
一学就会	to pick up  in a very s…
一定	surely
一定要	must
一审	first instance
一家	the whole family
一家之主	master of the house
一家人	the whole family
一家人不说两家话	lit. family members spe…
一家子	the whole family
一寸光阴一寸金	time is precious
一对	couple
一对一	one-to-one
一对一斗牛	one-on-one basketball g…
一对儿	a pair
一小撮	handful
一小部分	a small part
一小阵儿	very brief period of ti…
一尘不染	untainted by even a spe…
一层	layer
一展身手	to showcase one's talen…
